Zustand Uhrzeit: 10:23:26: STR 21 | EIN 1 | BAU 0 | PAR 6 [STA 22] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:23:27: STR 21 | EIN 0 | BAU 1 | PAR 6 [STA 22] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:23:40: STR 21 | EIN 0 | BAU 1 | PAR 5 [STA 22] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:17:09: STR 21 | EIN 0 | BAU 1 | PAR 4 [STA 22] | AUS 2 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:16:36: STR 21 | EIN 0 | BAU 1 | PAR 3 [STA 22] | AUS 3 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:23:47: STR 21 | EIN 0 | BAU 0 | PAR 4 [STA 21] | AUS 3 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:17:19: STR 21 | EIN 0 | BAU 0 | PAR 4 [STA 21] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:17:20: STR 21 | EIN 0 | BAU 1 | PAR 4 [STA 21] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:17:21: STR 21 | EIN 0 | BAU 2 | PAR 4 [STA 21] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:17:22: STR 21 | EIN 0 | BAU 3 | PAR 4 [STA 21] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:17:40: STR 21 | EIN 0 | BAU 2 | PAR 4 [STA 21] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:17:41: STR 21 | EIN 0 | BAU 1 | PAR 4 [STA 21] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:17:42: STR 21 | EIN 0 | BAU 0 | PAR 4 [STA 21] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:25:20: STR 20 | EIN 1 | BAU 0 | PAR 4 [STA 21] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:25:38: STR 19 | EIN 2 | BAU 0 | PAR 4 [STA 21] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:25:48: STR 19 | EIN 2 | BAU 0 | PAR 4 [STA 21] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:25:49: STR 19 | EIN 1 | BAU 1 | PAR 4 [STA 21] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
